Ticker,Accounting_Assets,Accounting_Debt_D,Estimated_Shares_N,Market_Equity_Ve,Sigma_e,Calculated_Va,Calculated_Sigma_a,Distance_to_Default,Probability_of_Default,Probability_of_Default_BC
HOMB,690.0,637.0,17.044573971357355,51.50863066195384,0.63211706112967,674.9490828032447,0.0514151195220319,1.4887807910384836,0.0682725510938552,0.1666951604877298
HTLD,372.1,326.0,11.09328839045685,32.471454750241065,0.5120200746640909,351.8771280512006,0.0482977549811685,1.9714856047784095,0.0243341789810273,0.05833102763534319
IPAR,623.0,1108.0,0.7810675063247636,1.0980388414185682,0.3740790149008505,1087.157676102631,0.0003792908716144,2.6628470425233943,0.0038741312816223,1.0
LFA,10736.148,7749.348,809.2115991188265,2986.7999999999997,4.479557769949769,3122.289409990953,4.387147618878902,-2.3962207842032064,0.9917174455334226,1.0
LYTS,1145.776,767.46,168.2524441526378,101.53778416168464,0.6563781215539083,851.7884608011288,0.0835093976151658,1.4461239503706451,0.0740712196045893,0.16361731877039995
MAJCQ,436.191,421.757,2.561036124813217,0.6402590312033043,1.843129095017295,407.6055844472213,0.0156354700850197,-0.911488469876156,0.818980970974287,1.0
MCY,290.919,262.29,13.996207791335856,62.94902491439929,0.360970051369446,320.0395162537013,0.0710645953962318,3.046082582124865,0.0011592207382848,0.0025015537130711456
MGA,1243.0,880.0,31.68277231289603,126.7351380677786,0.544213157676881,988.5847623187348,0.0716486167426215,1.8672477408445551,0.0309334997650032,0.0689098851849609
MGM,1034.578,1002.33,15.696448724356634,64.49599999999987,0.4076385436841512,1046.9296111810586,0.0252573577573011,2.5028526088478333,0.0061598418780652,0.017912738084028688
NC,474.1,412.0,30.475932877340323,44.449726593734944,0.4504668577702445,448.22358561206426,0.0451144956915568,2.2886474325465755,0.0110499227981429,0.026402168339977564
NORNQ,1087.6,1259.5,0.0416096303539002,0.0133109210021936,1.4492187761965645,1234.5432620978982,4.202373187371563e-05,-0.3270599044764403,0.6281887114378448,1.0
NPNTQ,479.0,171.0,11.0,8.25,1.8598109575713315,130.9587233815074,0.3710442827829786,-0.85062165402164,0.8025102216396158,1.0
NRTSF,431.038,216.25,250.48162777800212,30.683999999999976,1.39637396486095,215.99134657249337,0.3369469541777152,-0.1126688506568688,0.5448534512311551,1.0
NSLPQ,377.465,166.151,44.15636213675872,1.8104108976136668,2.578327763339476,66.70113288040389,0.598948044382495,-1.7898788817139497,0.9632633077448431,1.0
NUE,730.88,615.535,172.45826422412108,56.970371486078,0.3964910436174208,660.2876966499156,0.0343510304363852,2.60818490528569,0.0045511885290936,0.011476237639256485
NVR,1570.854,1690.431,0.6153846153846154,0.576923076923077,1.320524353755128,1656.765723792765,0.0010117643772482,-0.115338270162724,0.5459114972230484,1.0
NXTYQ,947.0,881.0,439.9999825159718,66.0,2.571531988578776,258.39569494614227,1.444104042450037,-1.5575635073258614,0.9403316224897098,1.0
PAAS,700.6,679.224,10.648001804250024,44.42085810901243,0.5203074776093891,709.9552563322673,0.0334336209968892,1.905030724514958,0.0283880386826266,0.07752377308820288
PNFP,1034.3,951.0,30.629931715391063,147.27435209399408,0.6200914481625787,1077.510657472975,0.0889446589364945,1.584570403870531,0.0565319868842065,0.12312193667768159
PPC,3298.709,2947.0,21.25988050356812,15.655340264649446,1.6244302307839418,2837.50311623605,0.0311027429685069,-0.5898808682028494,0.7223647392922581,1.0
PPSI,590.0,717.0,0.3722502163758343,0.5890097228898296,0.6428785983720599,703.3760377142634,0.0005864764420452,1.390747270774088,0.0821510388732019,1.0
PTBTQ,662.019,542.0,23.579370609444712,2.593730752984517,1.7983698288417451,512.893949672232,0.0428853175041321,-0.8421641894094651,0.8001519722257309,1.0
QUBT,501.737,148.067,176.835,742.7069662714005,4.896101996436245,747.335577656109,4.879224637271412,-2.103729147461158,0.9822989598051116,0.9965246224406424
RLI,201.249,133.313,468.8408464052409,145.69608315738077,0.395435722727716,276.36772014303983,0.2084893391804751,3.4884212885820247,0.0002429409271669,0.000484867394828406
RTW,411.984,396.027,15.347695989146985,23.02154398372048,0.3218543721891344,411.2053245098608,0.0180314031194841,3.185980918377897,0.0007213205597398,0.002368471760230496
SHJ,476.94,432.0,7.1904,25.1664,2.242909399319169,206.35793611611612,0.8337654923160133,-1.2790117019830385,0.8995535324370291,1.0
SLM,192.8,199.0,1.4418380487026805,1.9445157748475592,0.2602686427887608,197.0040451593432,0.0025691091939666,3.859757097407541,5.674989431576816e-05,1.0
SSNLF,414.0,407.0,0.0501037840069418,0.1215748291290935,6.626123271547277,7.001125757190186,1.7157899044093503,-3.214093818087252,0.9993457154516104,1.0
