Entreprise,Ticker
Beker Industries Corp.,BKR
"Benedek Communications Corp. (Stations Holding Co, Inc.)",RILY
"Best Products Company, Inc. (1991)",OTEX
"Best Products Company, Inc. (1996)",BBY
Bethlehem Steel Corp,STEEL
Bibb Co,BIBB
"Big V Supermarkets, Inc.",V
Birmingham Steel Corp.,STEEL
"Black Elk Energy Offshore Operations, LLC",NON_TROUVE
Blockbuster Inc.,BLIAQ
BMC Industries Inc.,BMC
"Bon Ton Stores, Inc.",BONTQ
"Bonanza Creek Energy, Inc.",CIVI
Bonneville Pacific Corporation,UNP
Borden Chemicals & Plastics LP (Borden Chemicals & Plastics Operating LP only),NON_TROUVE
"Borders Group, Inc.",BGP
"Boston Chicken, Inc.",YUM
"BPZ Resources, Inc.",BPZ
Bradlees Inc. (2000),BLE
"Bradlees, Inc. (1995)",BLE
Braniff Inc. (1989),NON_TROUVE
Braniff International Corp. (1982),NON_TROUVE
"Breed Technologies, Inc.",NON_TROUVE
Breitburn Energy Partners LP,BBEPQ
Briggs & Stratton Corporation,BGG
Bristow Group Inc.,VTOL
"Broadview Networks Holdings, Inc.",WIREX
Brooke Corporation,NVDA
Brunos Inc.,IPAR
"BSD Bancorp, Inc.",BSD
Budget Group Inc.,CAR
"Buffets Holdings, Inc.",AMZN
Builders Transport Inc.,DENTA
Building Materials Holding Corporation,CBUMY
"Burlington Industries, Inc.",BURL
"Bush Industries, Inc.",BUD
Buttes Gas & Oil Co.,US
C&J Energy Services Ltd.,CJ
"Caesars Entertainment Operating Company, Inc.",CZR
"CAI Wireless Systems, Inc.",CWSS
"Cal Dive International, Inc.",CDVIQ
Caldor Corporation,CLD
"California Coastal Communities, Inc.",COSO
California Resources Corporation,CRC
Calpine Corp.,CPN
Calton Inc.,CTON
"Cambridge Industries, Inc.",CF
Cape Fear Bank Corporation,CAPE
Capital Corp of the West,EWPMF
Capitol Bancorp Ltd.,CBNK
Capmark Financial Group Inc.,BGRP
"Caraustar Industries, Inc.",CSARQ
Carbide Graphite Group Inc.,SGL
Cardis Corp.,CDXI
Care Enterprises Inc.,CARE
CareMatrix Corp.,NON_TROUVE
"Carmike Cinemas, Inc.",CKEC
"Carolco Pictures, Inc.",CRCO
Carter Hawley Hale Stores Inc.,NON_TROUVE
Casual Male Corp.,DXLG
CBL & Associates Properties Inc. (CBL & Associates LP),CBL
"CEC Entertainment, Inc.",CEC
"CellNet Data Systems, Inc.",NON_TROUVE
Centennial Group Inc.,WWR
Central European Distribution Corporation,CEDC
Centric Brands Inc.,GOOGL
"Cenveo, Inc.",CVOVQ
Cenvill Development Corp.,DFDV
CF & I Steel Corp.,CF
"Champion Enterprises, Inc.",CHMP
"Chaparral Energy, Inc. (2016)",CHAP
"Chaparral Energy, Inc. (2020)",CHPE
Chart Industries Inc.,GTLS
"Charter Communications, Inc.",CHTR
Charter Company,CHTR
Charter Medical Corp.,CMCSA
CHC Group Ltd.,AHH
Chemtura Corporation,CHMT
Cherokee Inc. (1993),ROKU
Chesapeake Corporation,CPK
Chesapeake Energy Corporation,CHKPR
Child World Inc.,BFAM
"China Natural Gas, Inc.",CHNGQ
"Chiquita Brands International, Inc.",CQB
"Choice One Communications, Inc.",COFS
"CHS Electronics, Inc.",CHSCO
"CIB Marine Bancshares, Inc.",CIBH
"Ciber, Inc.",CIBR
Circle K Corp.,ANCTF
"Circuit City Stores, Inc.",CCTYQ
Circus and Eldorado Joint Venture,NON_TROUVE
CIT Group Inc.,CIT
Citadel Broadcasting Corporation,CTDBQ
Cityscape Financial Corp.,MUFG
"Claires Stores, Inc.",CLE
Clarent Corp.,CLRN
Clark Material Handling Company,NWL
"Classic Communications, Inc.",CHTR
Cloud Peak Energy Inc.,CLDPQ
"Clovis Oncology, Inc.",CLVS
"Cobalt International Energy, Inc.",CBBHF
"Coho Energy, Inc. (1999)",NON_TROUVE
"Coho Energy, Inc. (2002)",COHU
Coldwater Creek Inc.,NON_TROUVE
Coleco Industries Inc.,GTBIF
Collins & Aikman Corporation,NON_TROUVE
"Colonial Bancgroup, Inc.",CNB
"Color Tile, Inc.",NON_TROUVE
"Colorado-Ute Electric Association, Inc.",NON_TROUVE
Columbia Gas System Inc.,COLB
"Combustion Equipment Associates, Inc.",TXT
"Comdisco, Inc.",CDCO
Commonwealth Equity Trust,EOS
Community Bancorp,CMTV
"Complete Management, Inc.",AIV
Cone Mills Corp,CONY
"Conexant Systems, Inc.",NON_TROUVE
"Conseco, Inc.",CNO
Consolidated Freightways Corp.,NON_TROUVE
"Consolidated Hydro, Inc.",CWCO
Constar International Inc. (2008),CNST
Constar International Inc. (2011),CNST
ContiFinancial Corp.,CFN
Continental Airlines Corp. (1983),CAL
"Continental Airlines, Inc. (1990)",CAL
Continental Information Systems Corp,CGG
"Convergent Communications, Inc.",BNXAF
Cook United Inc. (1984),COOK
"Cooperative Bankshares, Inc.",CBSH
"Cooper-Standard Holdings, Inc.",CPS
Coram Healthcare Corp.,CRHEQ
"Corinthian Colleges, Inc.",COCOQ
"Cornerstone Propane Partners, L.P.",SPH
"Corus Bankshares, Inc.",FKYS
"Costilla Energy, Inc.",NON_TROUVE
"County Seat, Inc.",NON_TROUVE
"Covad Communications Group, Inc.",DVW
Covanta Energy Corp.,CVA
Covia Holdings Corporation,CVIAQ
Creditrust Corporation,C
Criimi Mae Inc.,CMM
Crown Pacific Partners L.P.,CSRIX
Crown Vantage Inc.,CCK
"Crystal Brands, Inc.",TERN
Crystal Oil Co.,CL
"CTC Communications Group, Inc.",CTC
Cumulus Media Inc.,CMLS
Dade Behring Inc.,DADE
Dailey International Inc.,DYAI
Daisy Systems Corp.,DAISY
DaisyTek International Corp.,DZTKQ
Dan River Inc.,DAN
Dana Corporation,DAN
Days Inns of America Inc.,HLT
Dayton Superior Corporation,DSUP
DDI Corp.,DDI
De Laurentiis Entertainment Group Inc.,DIS
Dean Foods Company,DF
DecisionOne Holdings Corp.,NON_TROUVE
Delphi Corporation,DLPH
"Delta Air Lines, Inc.",DAL
Delta Financial Corporation,DAL
Delta Petroleum Corporation,IPCO
Denbury Resources Inc.,DNR
Dendreon Corporation,DNDN
Derby Cycle Corp,DCT
"Dex Media, Inc. (2016)",THRY
Dex One Corporation (2013),DXCM
"Diamond Offshore Drilling, Inc.",DO
Ditech Holding Corporation (2019),DHCP
"Divi Hotels, N.V.",DIVI
"divine, inc.",DIVIN
Dolan Company,DM
Doral Financial Corporation,DORLL
Doskocil Cos Inc.,NON_TROUVE
Dow Corning Corporation,GLW
Downey Financial Corp.,CHOOF
DR Holdings Inc. of Delaware,DR
Dreco Energy Services Ltd.,NON_TROUVE
"Drug Emporium, Inc.",DFTX
Drypers Corp.,NON_TROUVE
"DTI Holdings, Inc.",DTY
"Dura Automotive Systems, Inc.",DURA
DVI Inc.,DVI
Dyersburg Corp.,DBGC
"Dynegy Holdings, LLC",DYN
"e.spire Communications, Inc.",SPIR
Eagle Bulk Shipping Inc.,EGLE
"Eagle Food Centers, Inc.",EGLE
"Eagle Geophysical, Inc.",EPL
"Eagle Picher Holdings, Inc. (2005)",EGLP
Eagle-Picher Industries Inc. (1991),EGLP
Eastern Airlines Inc.,CHNEY
Eastman Kodak Company,KODK
"Eddie Bauer Holdings, Inc.",MM
Edge Petroleum Corporation,UTES
"Edison Brothers Stores, Inc. (1995)",NON_TROUVE
"Edison Brothers Stores, Inc. (1999)",EBS
Edison Mission Energy,NON_TROUVE
Edisto Resources Corp.,US
Einstein Noah Bagel Corp,BAGL
El Paso Electric Co.,EE
El Paso Refinery LP,EP
"Emerald Oil, Inc.",EOX
Emerson Radio Corp.,FOXX
Encompass Services Corporation,EHC
Endeavour International Corporation,EXK
Endo International plc,ENDP
"Ener1, Inc.",HEV
"Energy Conversion Devices, Inc.",ENER
Energy Future Holdings Corp.,FRNWF
"Energy Partners, Ltd.",NGL
Energy XXI Ltd,EXXIQ
Enron Corp.,ENRON
Enstar Group Inc.,ESGRF
"Entergy New Orleans, Inc.",ETR
Envirodyne Industries Inc.,EVI
"EOTT Energy Partners, L.P.",ET
EP Energy Corporation (EP Energy LLC),EP
Erickson Incorporated,EKSN
Erly Industries Inc.,ERELY
"Ernst Home Center, Inc.",VTRS
"eToys, Inc.",NON_TROUVE
EUA Power Corp.,AEP
"EV Energy Partners, L.P.",TSLA
Evans Products Co.,NON_TROUVE
"Everex Systems, Inc.",EVX
"EvergreenBancorp, Inc.",EVGR
"EXCO Resources, Inc.",EXCE
Exide Technologies (2002),EXTC
Exide Technologies (2013),EXTC
"Exodus Communications, Inc.",EXOD
"Extraction Oil & Gas, Inc.",RCON
F & M Distributors Inc.,FMBM
Fairchild Corporation,FAIR
Fairfield Communities Inc.,BWFG
"FairPoint Communications, Inc.",FRP
Fairway Group Holdings Corp.,FWM
"Falcon Products, Inc.",BABA
"Family Golf Centers, Inc.",DIDIY
"Farmland Industries, Inc.",FPI
Federal-Mogul Corporation,FDML
"Federated Department Stores, Inc.",M
"Ferrellgas Partners, L.P. (Ferrellgas Partners Finance Corp.)",FGPR
FF Holdings Corporation,FF
Fibermark Inc.,NON_TROUVE
FiberTower Corporation,FRNS
Financial Corp. of Santa Barbara,TBXXF
Fine Air Services Corp.,FF
Fine Host Corporation,FINE
"Finlay Enterprises, Inc.",FYMNF
"Finova Group, Inc.",FNVG
First Capital Holdings Corp.,FCAP
"First City Bancorporation of Texas, Inc.",FBNC
First Executive Corp.,FE
First Mariner Bancorp,OPBK
First Merchants Acceptance Corporation,FRME
"First National Bancshares, Inc.",FOTB
First NBC Bank Holding Company,FNBCQ
First Place Financial Corp.,MM
First RepublicBank Corp,FRCB
First State Bancorporation,FSBW
"Firstcorp, Inc.",NON_TROUVE
FirstEnergy Solutions Corp.,FE
FirstFed Financial Corp.,FFDF
"FLAG Telecom Holdings, Ltd",FLG
"Flagstar Companies, Inc.",FLG
"Fleetwood Enterprises, Inc.",FLEW
"Fleming Companies, Inc.",FLM
"Flooring America, Inc.",AFIIQ
"Florida Coast Paper Company, LLC",NON_TROUVE
"FLYi, Inc.",FLYI
"Foamex International, Inc. (2005)",MM
"Foamex International, Inc. (2009)",FMXIE
Focal Communications Corporation,SATS
Footstar Inc.,FOR
Forbes Energy Services Ltd.,FLSS
Forcenergy Inc,NON_TROUVE
Foresight Energy LP,ET
Formica Corp.,NON_TROUVE
"Forstmann & Company, Inc.",NON_TROUVE
Forum Group Inc.,FRMM
Fountain View Inc.,KO
FoxMeyer Health Corp. (FoxMeyer Drug Co. only),NON_TROUVE
"FPA Medical Management, Inc.",NON_TROUVE
Franklin Bank Corp.,FRAF
Fremont General Corporation,FMNT
"Fretter, Inc.",NON_TROUVE
"Friede Goldman Halter, Inc.",NON_TROUVE
Friedman's Inc.,FRD
FriendFinder Networks Inc.,FFN
"Frontier Airlines Holdings, Inc. (2008)",UAL
Frontier Communications Corporation,FYBR
Frontier Holdings Inc. (1986),ULCC
Frontline Capital Group,FRO
"Fruit of the Loom, Ltd.",FTL
FSC Corporation,FSC
"FTD Companies, Inc.",FTD
"FTS International, Inc.",FTSI
"Furniture Brands International, Inc. (2013)",FBIN
"G. Heileman Brewing Co., Inc.",NON_TROUVE
"Galey & Lord, Inc. (2002)",NON_TROUVE
"Galey & Lord, Inc. (2004)",NON_TROUVE
Garrett Motion Inc.,GTX
Gastar Exploration Inc.,GST
"GateHouse Media, Inc.",GHSE
Gaylord Container Corp,GCR
"GC Companies, Inc.",GC
Genco Shipping & Trading Limited,GNK
General Development Corp.,GD
"General Growth Properties, Inc.",GGP
General Homes Corp.,LGIH
General Maritime Corporation,NOC
General Motors Corporation,GM
"Genesis Health Ventures, Inc.",GENNQ
Geneva Steel Company (1999),NON_TROUVE
Geneva Steel Holdings Corp. (2002),NON_TROUVE
Genicom Corporation,NON_TROUVE
"GenOn Energy, Inc.",GEN
"GenTek, Inc.",GNTX
Genuity Inc.,CCORF
Geo Specialty Chemicals Inc.,LEG
Geokinetics Inc.,GOK
"Geotek Communications, Inc.",WINKF
Gilbert Robinson Inc.,CHRW
Glenoit Corp.,GLW
Global Aviation Holdings Inc. (2012),JETS
Global Aviation Holdings Inc. (2013),USMJ
"Global Brokerage, Inc.",GLBR
Global Crossing Ltd.,JETMF
Global Eagle Entertainment Inc.,GEENQ
"Global Geophysical Services, Inc.",DWSN
"Global Geophysical Services, Inc. (2016)",GGS
Global Marine Inc.,HGTY
Global Power Equipment Group Inc.,GLPW
"Global TeleSystems, Inc.",MBT
Globalstar LP,GSAT
Globix Corp.,GLBXF
GMX Resources Inc.,GMX
"GNC Holdings, Inc.",GNC
"Golden Books Family Entertainment, Inc.",ADBRF
"Goss Graphic Systems, Inc. (1999)",GOSS
"Goss Holdings, Inc. (2001)",GOSS
Gottschalks Inc.,GOTTQ
"Graham-Field Health Products, Inc.",GHM
"Grand Court Lifestyles, Inc.",US
Grand Union Company (1995),NON_TROUVE
Grand Union Company (1998),NON_TROUVE
Grand Union Company (2000),NON_TROUVE
Granite Broadcasting Corporation,GRRP
Great American Communications Co.,GAFL
"Great Atlantic & Pacific Tea Company, Inc.",GAJ
"Greyhound Lines, Inc. (1990)",NON_TROUVE
"Greyhound Lines, Inc. (1994)",NON_TROUVE
"Grove Worldwide, LLC",AAPL
Grubb & Ellis Company,GBE
"GSI Group, Inc.",GSIT
"GST Telecommunications, Inc.",SGAPY
GT Advanced Technologies Inc.,DM
"GTT Communications, Inc.",GTTN
Guaranty Financial Group Inc.,GFCJ
"Guilford Mills, Inc.",GIS
"Gulf States Steel, Inc. of Alabama",NON_TROUVE
Gulf USA Corp.,EEENF
"GulfMark Offshore, Inc.",GLF
Gulfport Energy Corporation,GPOR
Guy F. Atkinson Company of California,NON_TROUVE
"GWG Holdings, Inc.",GWGH
Gymboree Corporation (2017),NON_TROUVE
Gymboree Corporation (2019),NON_TROUVE
Hadson Corp.,HDSN
Halcon Resources Corporation,HKRSQ
Halcon Resources Corporation (2019),RAQJ
Ha-Lo Industries,HALO
"Hancock Fabrics, Inc.",SLX
"Harnischfeger Industries, Inc.",NON_TROUVE
"Harrington West Financial Group, Inc.",HWFGQ
Hartmarx Corporation,HTMX
"Harvard Industries, Inc. (1991)",NEFJX
"Harvard Industries, Inc. (1997)",BIEAX
"Harvard Industries, Inc. (2002)",HBIO
Hawaiian Airlines Inc.,NON_TROUVE
"Hawaiian Telcom Communications, Inc.",HCOM
"Hawker Beechcraft Acquisition Company, LLC",NON_TROUVE
"Hayes Lemmerz International, Inc. (2001)",MM
"Hayes Lemmerz International, Inc. (2009)",HAYZ
Healthco International Inc.,HCW
"Heartland Wireless Communications, Inc.",HTLD
Hechinger Company,NON_TROUVE
Hecks Inc.,HEI
"Hedstrom Holdings, Inc.",HSTM
Heilig-Meyers Company,NON_TROUVE
"Herbst Gaming, Inc.",GAME
"Hercules Offshore, Inc.",SFL
"Hercules Offshore, Inc. (2016)",HEROQ
"Hertz Global Holdings, Inc. (Hertz Corporation)",HTZ
Hexcel Corp.,HXL
Hexion Inc.,NON_TROUVE
"hhgregg, Inc.",HGGG
Hi-Crush Inc.,HCLP
High Voltage Engineering Corporation (2004),NON_TROUVE
High Voltage Engineering Corporation (2005),MCHP
"Highland Superstores, Inc.",XHFOX
"Highlands Insurance Group, Inc.",HBSI
HighPoint Resources Corporation,HPR
Hills Department Stores Inc.,CYH
Hillsborough Holdings Corp.,HTH
"Hines Horticulture, Inc.",MM
Hoku Corporation,HOKUQ
"Holt Group, Inc.",HOLT
"Home Holdings, Inc.",HOME
HomeBanc Corp.,HBCP
Horizon PCS Inc.,HRZN
"Hornbeck Offshore Services, Inc.",HOS
Horsehead Holding Corp.,ZINCQ
"Hospitality Investors Trust, Inc.",AHT
"House of Fabrics, Inc.",ZS
HRT Industries Inc.,HRT
Huffy Corp.,HUF
Hunt International Resources Corp.,TGSGY
Huntsman Polymers Corp,HUN
Hvide Marine Incorporated,NON_TROUVE
"ICG Communications, Inc.",ICG
ICH Corporation,ICH
Idearc Inc.,IAR
"iHeartMedia, Inc.",IHRT
Illinois Power Generating Company,AQN
Impath Inc.,PATH
"Imperial Capital Bancorp, Inc.",CBNK
Imperial Home Decor Group Inc.,CRMT
Imperial Sugar Company,MDLZ
"IMPSAT Fiber Networks, Inc.",IMFN
Inacom Corp.,NON_TROUVE
"Indalex Holdings Finance, Inc.",INLDX
