Ticker,Accounting_Assets,Accounting_Debt_D,Estimated_Shares_N,Market_Equity_Ve,Sigma_e,Calculated_Va,Calculated_Sigma_a,Distance_to_Default,Probability_of_Default
PAAS,700.6,679.224,10.648001804250024,44.42085810901243,0.5203074776093891,709.9552563322673,0.03343362099688922,1.905030724514958,0.028388038682626654
PNFP,1034.3,951.0,30.629931715391066,147.27435209399408,0.6200914481625787,1077.510657472975,0.08894465893649459,1.584570403870531,0.05653198688420655
PPC,3298.709,2947.0,21.259880503568116,15.655340264649446,1.6244302307839418,2837.50311623605,0.0311027429685069,-0.5898808682028494,0.7223647392922581
PPSI,590.0,717.0,0.3722502163758343,0.5890097228898296,0.6428785983720599,703.3760377142634,0.0005864764420452266,1.390747270774088,0.08215103887320196
PTBTQ,662.019,542.0,23.579370609444712,2.593730752984517,1.7983698288417453,512.893949672232,0.042885317504132145,-0.8421641894094651,0.8001519722257309
QUBT,501.737,148.067,176.835,742.7069662714005,4.896101996436245,747.335577656109,4.879224637271412,-2.103729147461158,0.9822989598051117
RLI,201.249,133.313,468.8408464052409,145.69608315738077,0.39543572272771604,276.36772014303983,0.20848933918047513,3.4884212885820247,0.00024294092716693213
RTW,411.984,396.027,15.347695989146985,23.021543983720477,0.32185437218913443,411.2053245098608,0.01803140311948412,3.1859809183778975,0.0007213205597398337
SHJ,476.94,432.0,7.1903999999999995,25.1664,2.242909399319169,206.35793611611615,0.8337654923160133,-1.2790117019830385,0.8995535324370291
SLM,192.8,199.0,1.4418380487026805,1.9445157748475592,0.2602686427887608,197.0040451593432,0.0025691091939666587,3.8597570974075404,5.674989431576816e-05
SSNLF,414.0,407.0,0.05010378400694187,0.12157482912909354,6.626123271547277,7.001125757190186,1.7157899044093505,-3.2140938180872514,0.9993457154516104
STLD,2308.0,2618.0,0.49941524784989577,1.0443353102901376,0.4710500232061795,2567.2010002275965,0.00019532041193125722,2.076146905429546,0.018940183058305683
TELFY,226.283,237.506,2.1320744466536157,1.079071595642806,0.20840027882131568,233.8821376652986,0.0009615056255140823,4.809077130655822,7.581434789940355e-07
TGIC,896.227,1599.801,16.66666703919573,7.33333345750969,3.3286706694495796,94.11361066036507,1.5863457581555358,-2.5665138008230697,0.9948636731337899
TMCV,1513.442,1467.0,12.417647027159385,0.12417646749603244,6.018781239224602,136.66162015748392,0.8167285324884082,-3.289942097620944,0.9994989599943508
TXT,177.991,103.84,52.1849976532746,84.85732502272731,0.31260572434381334,186.64111370176033,0.14212879713071191,4.195040388727226,1.3641148472923646e-05
TY,5095.197,4865.534,119.44845772211093,222.03455880844535,0.1533428769854065,4991.224530537294,0.006821455903224833,6.6674237644653545,1.3016630433957692e-11
UG,652.4,573.0,78.24798730279564,183.99607787023422,0.5263967255361949,745.1653384694062,0.13175578936375304,2.0799132636306856,0.018766744617025755
UHAL,3805.666,3478.218,260.4225028953503,113.16048726923913,1.5668557958259461,3216.3576928271927,0.14743270135151804,-0.46895109241671257,0.6804477025582922
UPM,971.486,3963.423,100.00000223517505,0.8300000055879326,45.255461900423505,69.27690033765093,2.2044033703804584,-2.9288872440818823,0.9982991110007338
USA,2173.347,1378.969,417.28286235166496,777.3811738155496,0.16175250343836411,2129.0447581466924,0.059060924158212305,7.66315800749535,9.07079612661697e-15
USMJ,690.304,520.217,42.52175,0.5230175077654414,14.937065475025982,4.820482320636834,3.090615186097151,-3.053541961277123,0.9988692145446986
VLY,2483.0,2370.0,17.654619991399844,78.58010281150014,0.8237731685707745,2394.1879902636274,0.032745254284092876,0.9044989664831946,0.18286544107234132
VTR,1717.89,1402.902,103.36923955260235,114.52630718146266,0.7481472837572224,1484.087026991225,0.065213702039658,1.1367308158480895,0.12782541644297907
WAXS,1630.0,733.0,46.5974025974026,10.204831018850397,1.605408951239478,691.5348702827449,0.07463566034643636,-0.5495679376696622,0.7086921224881886
WGO,630.15,399.264,306.33942057135073,272.86509843440945,0.8551807777232265,656.8328776903483,0.37770089960673336,1.1820934970623747,0.11858430220169336
WIREX,276.733,386.427,0.38862455871748,1.1524750690027297,0.21305789191513638,379.9277077363597,0.0006462919695407817,4.700363683712037,1.298492831073787e-06
WTBA,1655.553,1636.0,8.090747820359914,28.833923602127577,0.5742745869816065,1632.0829320368844,0.010667468145732998,1.6448078954920793,0.0500047167207455
XOXO,250.02,239.0,23.95652130454613,13.41565198766263,2.1707054027786197,127.0582983245454,0.7259873072792011,-1.205732256285148,0.8860396282829743
